audit_id,model,condition,probe_id,probe_type,rung,scorer_decision,recall_subject,recall_action,recall_object,recall_outcome,recall_time,fragment_summary,human_decision,human_notes,agree
80,Mistral,mistral_full_cautious,supported-000024,supported,boundary_preserving_topk,RECALL,malware:m_89c5ffa5,Executable launched,host:h_ab2db6e1,blocked,2026-02-15T20:16:10+00:00,[subject@b-F=malware:m_89c5ffa5] [action@b-F=executed_on] [object@b-F=host:h_ab2db6e1] [outcome@b-F=blocked] [time@b-F=2026-02-15T20:16:10+00:00],RECALL,,1
81,Qwen,qwen_full_pcb,absent-000040,absent,summary_merge,ABSTAIN,,,,,,[outcome@b-E=partial] [subject@b-A=malware:m_a647a7e6] [time@b-B=2026-02-04T00:14:36+00:00] [time@b-B=2026-02-01T16:05:36+00:00] [time@b-A=2026-02-06T09:37:31+00:00],ABSTAIN,,1
82,Qwen,qwen_full_neutral,partial-000017,partial,boundary_preserving_topk,RECALL,user:sam002-E@clientE.local,Data exfiltration,file:f_58373054,completed,2026-03-24T13:43:32+00:00,[outcome@b-E=completed] [action@b-E=exfiltrated] [object@b-E=file:f_58373054] [action@b-E=elevated_privileges_on],RECALL,,1
83,Qwen,qwen_full_pcb,partial-000027,partial,summary_merge,RECALL,user:u_5e1c6397,executed,malware:Raven_I,blocked,2026-03-21T09:33:59+00:00,[action@b-I=executed_on] [outcome@b-I=blocked] [time@b-I=2026-03-21T09:33:59+00:00] [subject@b-B=user:u_d3ed4172] [outcome@b-H=blocked] [time@b-B=2026-01-19T21:45:18+00:00] [subject@b-H=user:u_5e1c639...,RECALL,,1
84,Qwen,qwen_full_cautious,partial-000020,partial,boundary_preserving_topk,RECALL,user:u_0738c30a,flagged for anomalous activity,host:h_c80c34e5,session_revoked,unknown,[object@b-B=host:h_c80c34e5] [subject@b-B=user:u_0738c30a] [outcome@b-B=session_revoked],RECALL,,1
85,Qwen,qwen_seed44_neutral,partial-000045,partial,isolated,RECALL,user:heidi-B@clientB.local,Privilege-elevation,host:h_aacf3eeb,success,2026-03-13T18:21:34+00:00,[object@b-B=host:h_aacf3eeb] [time@b-B=2026-01-19T00:06:38+00:00] [outcome@b-B=success] [action@b-B=elevated_privileges_on] [time@b-B=2026-02-21T22:09:02+00:00],RECALL,,1
86,Qwen,qwen_full_cautious,absent-000004,absent,isolated,ABSTAIN,,,,,,[time@b-F=2026-01-24T19:08:06+00:00] [action@b-F=elevated_privileges_on],ABSTAIN,,1
87,Qwen,qwen_full_cautious_pcb,partial-000006,partial,boundary_preserving_topk,RECALL,user:u_0455c856,flagged for anomalous activity,session,session_revoked,2026-01-07T02:29:37+00:00,[time@b-F=2026-01-07T02:29:37+00:00] [subject@b-F=user:u_0455c856] [outcome@b-F=session_revoked],RECALL,,1
88,Qwen,qwen_seed43_neutral,absent-000006,absent,summary_merge,RECALL,malware:Urial_B,launched,executable,blocked,2026-03-28T12:48:10+00:00,[action@b-A=executed_on] [time@b-C=2026-02-11T11:38:09+00:00] [outcome@b-E=blocked] [subject@b-C=user:u_a1073320] [object@b-J=host:h_1898271c],RECALL,,1
89,Qwen,qwen_seed44_neutral,absent-000030,absent,isolated,RECALL,malware:Newt001_B,compromised,system,blocked,2026-01-31T21:07:58+00:00,[outcome@b-G=blocked] [time@b-G=2026-01-31T21:07:58+00:00],RECALL,,1
90,Qwen,qwen_seed44_neutral,partial-000020,partial,summary_merge,RECALL,user:u_75e90199,egress,file:f_a8d1720a,detected,2026-02-02T02:04:26+00:00,[action@b-I=exfiltrated] [object@b-I=file:f_a8d1720a] [subject@b-I=user:u_75e90199] [action@b-A=elevated_privileges_on] [subject@b-F=user:u_bed8b017] [subject@b-C=proc:p_0950f0c6] [outcome@b-A=detecte...,RECALL,,1
91,Mistral,mistral_full_cautious_pcb,absent-000008,absent,boundary_preserving_topk,ABSTAIN,,,,,,[time@b-F=2026-02-21T23:06:30+00:00] [object@b-F=host:h_38f5311c] [time@b-F=2026-02-18T07:59:47+00:00],ABSTAIN,,1
92,Mistral,mistral_full_cautious,absent-000039,absent,boundary_preserving_topk,ABSTAIN,,,,,,[outcome@b-H=blocked],ABSTAIN,,1
93,Mistral,mistral_full_cautious,absent-000027,absent,isolated,ABSTAIN,,,,,,[outcome@b-B=partial],ABSTAIN,,1
94,Mistral,mistral_full_neutral,absent-000038,absent,shared_vector_index,RECALL,user:leah002-D@clientD.local,Authentication action observed,malware:m_8fd53ebd,mfa_bypassed,2026-02-20T16:28:56+00:00,[action@b-A=authenticated] [time@b-A=2026-02-16T07:25:11+00:00] [outcome@b-I=mfa_bypassed] [subject@b-B=malware:m_8fd53ebd] [time@b-C=2026-02-09T14:23:36+00:00],RECALL,,1
95,Mistral,mistral_seed43_neutral,partial-000042,partial,isolated,RECALL,Account user:u_20f131db,Privilege-elevation,Account user:u_20f131db,Flagged for anomalous activity,2026-02-16T16:17:54+00:00,[subject@b-G=user:u_20f131db] [time@b-G=2026-02-16T16:17:54+00:00] [action@b-G=elevated_privileges_on],RECALL,,1
96,Mistral,mistral_full_cautious_pcb,partial-000024,partial,summary_merge,RECALL,proc:p_7dc2a042,observed,host:h_79156be6,detected,2026-01-02T11:33:57+00:00,[time@b-C=2026-01-02T11:33:57+00:00] [subject@b-C=proc:p_7dc2a042] [object@b-C=host:h_79156be6] [outcome@b-J=blocked] [subject@b-D=user:u_e8120c7c] [outcome@b-H=detected] [time@b-I=2026-01-10T18:25:22...,RECALL,,1
97,Mistral,mistral_seed43_neutral,partial-000024,partial,isolated,RECALL,user:u_f4a03e52,initiated egress event,file:f_2a4af6d7,detected,not specified,[object@b-H=file:f_2a4af6d7] [subject@b-H=user:u_f4a03e52] [outcome@b-H=detected],RECALL,,1
98,Mistral,mistral_seed43_neutral,absent-000026,absent,boundary_preserving_topk,RECALL,user:trent-B@clientB.local,Authentication,detected,Authentication result,prov:9aec345ab0ffb9b,[outcome@b-E=detected],RECALL,,1
99,Mistral,mistral_full_pcb,absent-000034,absent,summary_merge,RECALL,user:dave004-F@clientF.local,authentication,malware:m_ca1a5b5b,blocked,2026-01-31T04:12:32+00:00,[subject@b-A=user:u_1bbfbd75] [outcome@b-D=blocked] [time@b-I=2026-01-31T04:12:32+00:00] [action@b-J=authenticated] [subject@b-J=malware:m_ca1a5b5b],RECALL,,1
100,Mistral,mistral_full_neutral,absent-000018,absent,isolated,RECALL,user:u_a938cac4,Authentication attempt,host:h_9ba0010c,Unknown,Unknown,[object@b-F=host:h_9ba0010c] [subject@b-F=user:u_a938cac4],RECALL,,1
